Velocidad angular de la rueda (rad/s);Radio de la rueda (m);Relacion de transmision;RPM
10.48813504;0.571126615;10;17.53627121
12.15189366;0.408003189;10;28.44145333
11.02763376;0.594077609;10;17.72599133
10.44883183;0.684875418;10;14.56892619
9.236547993;0.399501257;10;22.07816235
11.45894113;0.530462934;10;20.62817597
9.375872113;0.536816773;10;16.67849966
13.91773001;0.528900762;10;25.12844396
14.63662761;0.389232653;10;35.90898577
8.834415188;0.681099605;10;12.38621344
12.91725038;0.478850151;10;25.75976108
10.2889492;0.638563469;10;15.38644664
10.68044561;0.57979171;10;17.59092809
14.25596638;0.41897478;10;32.49227817
5.710360582;0.625519128;10;8.717547454
5.871292997;0.458602296;10;12.2255642
5.202183974;0.652441279;10;7.614048846
13.32619846;0.532509149;10;23.89739625
12.78156751;0.652694145;10;18.70017986
13.70012148;0.577012636;10;22.6730777
14.78618342;0.590101712;10;23.92768026
12.99158564;0.500529753;10;24.78584015
9.614793623;0.682433454;10;13.45398813
12.80529176;0.55759608;10;21.93012709
6.182744259;0.469542019;10;12.57413739
11.39921021;0.542557286;10;20.06321582
6.433532874;0.307677279;10;19.96758215
14.44668917;0.420629927;10;32.79740951
10.21848322;0.564069415;10;17.29916998
9.1466194;0.416031043;10;20.99453464
7.645556121;0.547206172;10;13.34226234
12.74233689;0.47150748;10;25.80666464
9.561503322;0.354189626;10;25.77874235
10.68433949;0.41931293;10;24.33216798
5.187898004;0.527985964;10;9.382972285
11.17635497;0.536349104;10;19.89866814
11.12095723;0.5297301;10;20.04743906
11.16933997;0.561280328;10;19.00286447
14.43748079;0.560841308;10;24.5823166
11.81820299;0.472567374;10;23.88136203
8.595079006;0.658618638;10;12.46198541
9.370319538;0.447024748;10;20.01678
11.97631196;0.47434597;10;24.11011416
5.602254716;0.656769342;10;8.145567768
11.66766715;0.622477596;10;17.89912037
11.7063787;0.581555433;10;19.22218858
7.103825611;0.340090755;10;19.94659857
6.289262977;0.667793045;10;8.99351047
8.154283509;0.58569652;10;13.29488379
8.637107709;0.699538803;10;11.79038287
10.7019677;0.359779322;10;28.40526329
9.386015135;0.647250423;10;13.84778427
14.88373838;0.364997174;10;38.93981715
6.020448107;0.546223826;10;10.52518068
7.088767561;0.349527993;10;19.36690199
6.613095179;0.639203292;10;9.87954975
11.53108325;0.622927583;10;17.67681138
7.532916025;0.527640295;10;13.63316068
9.663107729;0.462873319;10;19.93545056
7.44425592;0.327666798;10;21.69502923
6.589695836;0.578971509;10;10.86874897
6.103751412;0.481417073;10;12.10728405
11.56329589;0.58882224;10;18.75291634
6.381829513;0.64655293;10;9.425675752
6.965823617;0.690208602;10;9.637479957
8.687251707;0.642321337;10;12.91520899
13.2099323;0.304685634;10;41.40187375
5.971012758;0.443991226;10;12.84236454
13.37944907;0.591996225;10;21.58194968
5.960984079;0.368651871;10;15.44091036
14.76459465;0.508414642;10;27.73159573
9.686512016;0.321735195;10;28.75015773
14.76761088;0.37999861;10;37.11074001
11.0484552;0.307408718;10;34.32074934
12.39263579;0.617479081;10;19.16517632
5.391877923;0.389569875;10;13.21679234
7.828069626;0.438140672;10;17.06131461
6.201965612;0.671232517;10;8.823233009
7.961401975;0.581765761;10;13.06810985
6.18727719;0.312735572;10;18.89268451
8.179831794;0.365877663;10;21.34911415
9.142629945;0.548591361;10;15.91452057
5.641474963;0.530891435;10;10.1474829
11.92472119;0.395157129;10;28.81706824
10.66601454;0.673685599;10;15.11876406
7.653894909;0.545586382;10;13.39646936
10.23248053;0.514253121;10;19.00095253
5.939405108;0.535963991;10;10.58226708
10.75946496;0.592048812;10;17.35419781
14.29296198;0.424777998;10;32.13154485
8.185689525;0.459288425;10;17.01927869
11.6741038;0.3839375;10;29.03584038
6.317978624;0.374477202;10;16.11106132
12.16327204;0.677748956;10;17.13771613
7.894060929;0.595820318;10;12.65192321
6.83191362;0.496183523;10;13.14835466
10.86512935;0.390965851;10;26.53795524
5.201075462;0.401742593;10;12.36279475
13.28940029;0.323211664;10;39.26356593
5.046954762;0.47376665;10;10.17270166
